symbol	ensembl	entrez
SLC25A26	ENSG00000261657	115286
	ENSG00000223116	NA
HMGA1P6	ENSG00000233440	NA
RNY3P4	ENSG00000207157	NA
LINC00362	ENSG00000229483	NA
RNU6-58P	ENSG00000252952	100873766
TATDN2P3	ENSG00000235205	NA
LINC00363	ENSG00000232849	NA
SDAD1P4	ENSG00000236803	NA
RPLP1P13	ENSG00000232163	NA
	ENSG00000252365	NA
SACS-AS1	ENSG00000229558	100506680
HNRNPA1P29	ENSG00000235784	NA
GPC6-AS2	ENSG00000224394	NA
RNA5SP35	ENSG00000212559	NA
LINC00327	ENSG00000232977	100506697
GPC6-AS1	ENSG00000236520	100873972
LINC00352	ENSG00000227893	NA
	ENSG00000212057	NA
RNA5SP36	ENSG00000222129	NA
MTCO3P2	ENSG00000232102	NA
RN7SL585P	ENSG00000242037	NA
LINC00391	ENSG00000238230	NA
SOX21-AS1	ENSG00000227640	100507533
C1QTNF9B-AS1	ENSG00000205861	NA
BRD7P5	ENSG00000235768	NA
RPL21P112	ENSG00000237924	NA
LINC00557	ENSG00000260962	NA
RNU6-62P	ENSG00000252335	NA
	ENSG00000238463	NA
RNY3P8	ENSG00000223298	NA
ANKRD20A19P	ENSG00000196593	NA
RNY4P27	ENSG00000200211	NA
MEMO1P5	ENSG00000271492	NA
CLDN10-AS1	ENSG00000223392	100874194
	ENSG00000228741	221178
DNAJC3-AS1	ENSG00000247400	100289274
IPO7P2	ENSG00000225674	NA
MTND5P2	ENSG00000229622	NA
MIR2276	ENSG00000252695	100313842
SPATA13-AS1	ENSG00000227213	100874231
MTND6P18	ENSG00000227714	NA
C1QTNF9-AS1	ENSG00000240868	NA
MTCYBP3	ENSG00000232373	NA
NUS1P3	ENSG00000234627	NA
	ENSG00000251901	NA
LINC00566	ENSG00000261498	NA
HMGN1P24	ENSG00000226977	NA
CYCSP33	ENSG00000233545	NA
RN7SL164P	ENSG00000242614	NA
AMMECR1LP1	ENSG00000233273	NA
TPTE2P6	ENSG00000205822	NA
HSP90AB6P	ENSG00000235137	NA
LINC00359	ENSG00000243300	100887754
	ENSG00000266216	NA
PSPC1P2	ENSG00000244615	NA
TULP3P1	ENSG00000234267	NA
	ENSG00000243008	NA
	ENSG00000272329	NA
	ENSG00000211508	NA
RN7SKP7	ENSG00000222472	NA
RNY1P7	ENSG00000207474	NA
	ENSG00000252154	NA
RPL26P34	ENSG00000225404	NA
	ENSG00000238522	NA
LINC00456	ENSG00000233124	NA
IRX1P1	ENSG00000231417	NA
RNA5SP37	ENSG00000202290	NA
PSMA6P4	ENSG00000271625	NA
ANKRD20A10P	ENSG00000226695	NA
	ENSG00000226134	NA
	ENSG00000238407	NA
RPL7AP61	ENSG00000233291	NA
	ENSG00000270725	NA
TPTE2P1	ENSG00000253771	NA
FTLP8	ENSG00000232217	NA
RN7SKP8	ENSG00000222969	NA
MIR3170	ENSG00000263399	100422881
	ENSG00000269189	NA
	ENSG00000269599	NA
SLC25A15P3	ENSG00000251299	NA
FARP1-AS1	ENSG00000231194	NA
	ENSG00000271437	NA
RPL34P27	ENSG00000232858	NA
STK24-AS1	ENSG00000224418	NA
	ENSG00000256305	NA
NUS1P4	ENSG00000217686	NA
AMER2-AS1	ENSG00000234056	NA
CYCSP35	ENSG00000233549	NA
LINC01053	ENSG00000238169	NA
CALM2P4	ENSG00000233662	NA
LINC01076	ENSG00000225105	NA
RN7SL60P	ENSG00000243366	NA
RPL23AP69	ENSG00000235315	NA
DOCK9-AS1	ENSG00000229918	100874096
BTC	ENSG00000261530	685
	ENSG00000221324	NA
	ENSG00000260509	NA
RPL7L1P12	ENSG00000231981	NA
TCEB2P1	ENSG00000234152	NA
RN7SL289P	ENSG00000265546	NA
	ENSG00000260666	NA
RNU6-83P	ENSG00000207298	100873782
RNU6-78P	ENSG00000199767	100873778
DOCK9-AS2	ENSG00000260992	100861541
	ENSG00000180803	NA
RPS6P23	ENSG00000230871	NA
RN7SL741P	ENSG00000242381	NA
GAST	ENSG00000260334	2520
RNY1P3	ENSG00000223158	NA
LINC00415	ENSG00000231983	NA
GAPDHP22	ENSG00000234005	NA
UBAC2-AS1	ENSG00000228889	100289373
ATP8A2P3	ENSG00000233963	NA
RN7SKP9	ENSG00000201793	NA
H2AFZP3	ENSG00000218502	NA
MIR623	ENSG00000207719	693208
PRUNEP1	ENSG00000234706	NA
HMGB3P4	ENSG00000228808	NA
	ENSG00000271559	NA
CCR12P	ENSG00000238241	NA
PRKRIRP6	ENSG00000227882	NA
	ENSG00000266207	NA
LINC00449	ENSG00000203441	NA
RPS3AP44	ENSG00000234031	NA
RNY3P6	ENSG00000212197	NA
LINC01039	ENSG00000234168	NA
WASF3-AS1	ENSG00000237001	NA
CFL1P8	ENSG00000234239	NA
FGFR1OP2P1	ENSG00000230256	NA
RPS21P8	ENSG00000223782	NA
MIR4306	ENSG00000263615	100422861
RPS20P32	ENSG00000218198	NA
CLYBL-AS2	ENSG00000227659	100874063
USP12-AS1	ENSG00000232162	NA
CLYBL-AS1	ENSG00000234303	101927465
USP12-AS2	ENSG00000230641	100874071
LINC00412	ENSG00000234772	NA
	ENSG00000201245	NA
	ENSG00000238305	NA
SNORD102	ENSG00000207500	26771
LINC00554	ENSG00000260738	100861542
SNORA27	ENSG00000207051	619499
	ENSG00000221756	NA
NDUFA12P1	ENSG00000225999	NA
RNU6-70P	ENSG00000252247	NA
LINC01079	ENSG00000229609	NA
ASNSP3	ENSG00000236554	NA
RNY1P1	ENSG00000201242	NA
	ENSG00000203602	NA
RNU6-63P	ENSG00000252499	100873768
RPL15P18	ENSG00000228501	NA
NPM1P4	ENSG00000226703	NA
HAP1	ENSG00000261125	9001
	ENSG00000270632	NA
RNU6-73P	ENSG00000207330	NA
PCCA-AS1	ENSG00000234650	100885777
PDX1-AS1	ENSG00000247381	100861550
LINC00543	ENSG00000260704	NA
RN7SL272P	ENSG00000242360	NA
	ENSG00000224356	NA
KATNBL1P1	ENSG00000271026	NA
CHCHD2P8	ENSG00000235115	NA
RPS26P47	ENSG00000234354	NA
PAN3-AS1	ENSG00000261485	100288730
COX5BP6	ENSG00000237082	NA
EEF1A1P3	ENSG00000232587	NA
RNU6-82P	ENSG00000200840	100873781
NALCN-AS1	ENSG00000233009	100885778
EIF4A1P7	ENSG00000235472	NA
RNU6-53P	ENSG00000202237	100873762
ARF4P3	ENSG00000214051	NA
CYP51A1P2	ENSG00000233588	NA
LINC00411	ENSG00000229599	NA
POM121L13P	ENSG00000236339	NA
	ENSG00000272349	NA
	ENSG00000221670	NA
RNU1-24P	ENSG00000201155	NA
MTUS2-AS2	ENSG00000236758	NA
HMGB3P7	ENSG00000215399	NA
MIR2681	ENSG00000265164	100616110
GAPDHP69	ENSG00000223460	NA
LIPT1P1	ENSG00000229975	NA
	ENSG00000270680	NA
RNY1P2	ENSG00000201690	NA
MTUS2-AS1	ENSG00000179141	100874107
MIR4705	ENSG00000264482	100616239
RPL39P29	ENSG00000236860	NA
TIMM8BP1	ENSG00000236258	NA
LINC00297	ENSG00000224329	100874059
FGF14-IT1	ENSG00000243319	283480
LINC00572	ENSG00000224405	100861573
FGF14-AS1	ENSG00000234445	100874081
LINC00544	ENSG00000122043	440131
FGF14-AS2	ENSG00000272143	283481
	ENSG00000266505	NA
	ENSG00000270581	NA
LINC00555	ENSG00000261057	NA
LINC00365	ENSG00000224511	NA
	ENSG00000269942	NA
LINC00384	ENSG00000232117	101928980
	ENSG00000238869	NA
LINC00283	ENSG00000231633	NA
LINC00385	ENSG00000232643	NA
RNY5P8	ENSG00000222301	NA
	ENSG00000266816	NA
RNU6-64P	ENSG00000252928	100873769
METTL21EP	ENSG00000250878	121952
PRDX2P1	ENSG00000215049	NA
	ENSG00000272542	NA
LINC00427	ENSG00000236463	100507040
	ENSG00000234551	101930454
ATP6V1G1P7	ENSG00000230474	NA
RPL7P45	ENSG00000225823	NA
DAOA-AS1	ENSG00000232307	282706
LINC00426	ENSG00000238121	100188949
LINC00343	ENSG00000226620	144920
LINC01058	ENSG00000225039	NA
JUP	ENSG00000261577	3728
	ENSG00000252550	NA
UBE2L5P	ENSG00000236444	NA
	ENSG00000222643	NA
RNA5SP38	ENSG00000222682	NA
RBM22P2	ENSG00000213411	NA
LINC00460	ENSG00000233532	728192
MFAP1P1	ENSG00000232489	NA
RPL35P9	ENSG00000174418	NA
PTPN2P2	ENSG00000224117	NA
LINC00551	ENSG00000272274	283483
LINC00443	ENSG00000230156	100874173
LINC00398	ENSG00000237879	100874158
ATP5G1P5	ENSG00000227590	NA
PPIAP24	ENSG00000174408	NA
TEX26-AS1	ENSG00000224743	100507064
	ENSG00000196777	NA
	ENSG00000239050	NA
	ENSG00000221316	NA
	ENSG00000201847	NA
MIR1267	ENSG00000221650	100302286
	ENSG00000221473	NA
FAM155A-IT1	ENSG00000227248	100874375
RNA5SP39	ENSG00000223177	NA
HCFC2P1	ENSG00000232087	NA
MYO16-AS2	ENSG00000229938	NA
LINC00545	ENSG00000236094	440132
MYO16-AS1	ENSG00000236242	100885782
	ENSG00000238185	NA
LINC00370	ENSG00000223617	NA
	ENSG00000230233	NA
LINC01066	ENSG00000230403	NA
LINC01067	ENSG00000236053	NA
	ENSG00000261163	10609
MIR548X	ENSG00000265841	100422920
WDR95P	ENSG00000231894	NA
LINC00399	ENSG00000229792	NA
	ENSG00000221041	NA
LINC00676	ENSG00000234854	101409253
PPIAP22	ENSG00000198618	NA
ANKRD26P4	ENSG00000229427	NA
	ENSG00000255813	NA
RN7SKP10	ENSG00000201161	NA
LINC00396	ENSG00000231428	NA
	ENSG00000232193	NA
EEF1DP3	ENSG00000229715	NA
	ENSG00000226204	NA
RN7SL783P	ENSG00000265885	NA
	ENSG00000238629	NA
	ENSG00000235965	NA
COL4A2-AS2	ENSG00000224821	100129836
LINC01073	ENSG00000235822	NA
	ENSG00000229289	NA
FRY-AS1	ENSG00000237637	100507099
COL4A2-AS1	ENSG00000232814	100874203
SLC6A6P1	ENSG00000226818	NA
	ENSG00000230633	NA
	ENSG00000255831	NA
	ENSG00000231620	NA
IFIT1P1	ENSG00000215515	NA
RPL21P107	ENSG00000225239	NA
RNU1-139P	ENSG00000212609	NA
