chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr1	SDF4	-	1159348	1158624	4
chr1	GNB1	-	1749314	1735858	5
chr1	GNB1	-	1756938	1747195	2
chr1	GNB1	-	1770677	1747195	8
chr1	GNB1	-	1811341	1747195	6
chr1	GNB1	-	1784736	1756836	2
chr1	RER1	+	2327223	2335028	2
chr1	ICMT	-	6293703	6291962	5
chr1	CAMTA1	+	6867043	6885270	2
chr1	CAMTA1	+	6867043	6948959	3
chr1	VAMP3	+	7837220	7838229	12
chr1	RERE	-	8674745	8525985	13
chr1	RERE	-	8568734	8555123	3
chr1	RERE	-	8601377	8555123	6
chr1	RERE	-	8617582	8555123	20
chr1	RERE	-	8674745	8555123	21
chr1	RERE	-	8617582	8568686	36
chr1	RERE	-	8674745	8568686	11
chr1	RERE	-	8617582	8601273	45
chr1	RERE	-	8674745	8601273	82
chr1	RERE	-	8684439	8601273	6
chr1	RERE	-	8674745	8616534	2
chr1	RERE	-	8684439	8616534	3
chr1	RERE	-	8684439	8672105	2
chr1	RERE	-	8684439	8674620	5
chr1	RERE	-	8716500	8674620	10
chr1	RERE	-	8716500	8716032	55
chr1	LZIC	-	9994918	9991949	9
chr1	LZIC	-	9995685	9991949	2
chr1	LZIC	-	9996685	9995550	3
chr1	UBE4B	+	10155519	10165802	2
chr1	UBE4B	+	10195046	10197263	2
chr1	UBE4B	+	10204998	10211619	3
chr1	UBE4B	+	10209242	10221344	3
chr1	KIF1B	+	10318551	10328321	4
chr1	KIF1B	+	10318551	10342591	3
chr1	KIF1B	+	10327438	10328321	2
chr1	KIF1B	+	10335486	10342591	4
chr1	KIF1B	+	10351140	10357304	9
chr1	KIF1B	+	10352105	10357304	3
chr1	KIF1B	+	10380101	10436734	2
chr1	KIF1B	+	10423341	10425706	2
chr1	EXOSC10	-	11137005	11130957	4
chr1	MTOR	-	11193254	11184555	4
chr1	MFN2	+	12061458	12062160	3
chr1	VPS13D	+	12335882	12338095	8
chr1	VPS13D	+	12359259	12368698	4
chr1	DHRS3	-	12639440	12638746	3
chr1	PRDM2	+	14042036	14068652	3
chr1	PRDM2	+	14042036	14075982	2
chr1	PRDM2	+	14057495	14068652	7
chr1	PRDM2	+	14099573	14109326	5
chr1	DNAJC16	+	15860732	15874923	2
chr1	SPEN	+	16199311	16203173	8
chr1	FBXO42	-	16641930	16632298	6
chr1	ARHGEF10L	+	17907048	17914974	2
chr1	EMC1	-	19570509	19563636	3
chr1	HP1BP3	-	21100103	21071237	2
chr1	HP1BP3	-	21107033	21071237	7
chr1	HP1BP3	-	21103243	21074037	2
chr1	HP1BP3	-	21100103	21076216	24
chr1	HP1BP3	-	21100103	21083659	21
chr1	HP1BP3	-	21103243	21083659	11
chr1	HP1BP3	-	21106404	21083659	2
chr1	HP1BP3	-	21107033	21083659	7
chr1	HP1BP3	-	21100103	21091870	11
chr1	HP1BP3	-	21103243	21091870	4
chr1	HP1BP3	-	21103243	21094077	2
chr1	HP1BP3	-	21107033	21094077	2
chr1	HP1BP3	-	21100103	21097423	6
chr1	HP1BP3	-	21102498	21102217	8
chr1	EIF4G3	-	21191755	21167349	2
chr1	EIF4G3	-	21231464	21220010	5
chr1	EIF4G3	-	21268823	21220010	8
chr1	EIF4G3	-	21268823	21231376	16
chr1	EIF4G3	-	21307720	21267984	2
chr1	EIF4G3	-	21329301	21267984	3
chr1	EIF4G3	-	21307720	21276496	4
chr1	EIF4G3	-	21329301	21276496	2
chr1	EIF4G3	-	21307720	21295967	29
chr1	EIF4G3	-	21329301	21295967	14
chr1	EIF4G3	-	21437876	21295967	6
chr1	EIF4G3	-	21307720	21306827	3
chr1	EIF4G3	-	21329301	21306827	5
chr1	EIF4G3	-	21377487	21306827	3
chr1	EIF4G3	-	21377487	21324094	5
chr1	EIF4G3	-	21437876	21324094	11
chr1	EIF4G3	-	21415706	21329206	2
chr1	EIF4G3	-	21437876	21329206	8
chr1	EIF4G3	-	21437876	21377359	3
chr1	EIF4G3	-	21437876	21415631	6
chr1	USP48	-	22048257	22041882	4
chr1	USP48	-	22056325	22047529	2
chr1	CDC42	+	22404922	22413359	7
chr1	ZBTB40	+	22816373	22818026	10
chr1	KDM1A	+	23356962	23370979	3
chr1	KDM1A	+	23356962	23377013	50
chr1	KDM1A	+	23356962	23385660	25
chr1	KDM1A	+	23376880	23384058	3
chr1	KDM1A	+	23376880	23385660	4
chr1	KDM1A	+	23381562	23396528	2
chr1	HMGCL	-	24147083	24140680	4
chr1	SYF2	-	25554726	25553933	3
chr1	CEP85	+	26584088	26586293	6
chr1	ARID1A	+	27056142	27059283	12
chr1	ARID1A	+	27087347	27089776	2
chr1	NUDC	+	27269151	27269556	11
chr1	SLC9A1	-	27440777	27440317	3
chr1	PPP1R8	+	28165210	28169841	2
chr1	PPP1R8	+	28167525	28169841	4
chr1	EYA3	-	28330930	28315046	3
chr1	EYA3	-	28374937	28362055	5
chr1	EYA3	-	28384605	28362055	4
chr1	PHACTR4	-	28714087	28700226	2
chr1	PHACTR4	+	28785596	28793279	3
chr1	PHACTR4	+	28800066	28800663	2
chr1	PHACTR4	+	28800066	28802803	4
chr1	PHACTR4	+	28800066	28807116	5
chr1	YTHDF2	+	29068915	29070498	14
chr1	EPB41	+	29313943	29314417	28
chr1	EPB41	+	29313943	29320054	7
chr1	EPB41	+	29313943	29323831	14
chr1	EPB41	+	29313943	29365938	2
chr1	EPB41	+	29319842	29344954	4
chr1	EPB41	+	29338377	29344954	2
chr1	EPB41	+	29362338	29365938	7
chr1	EPB41	+	29362338	29379824	3
chr1	EPB41	+	29362338	29391670	3
chr1	EPB41	+	29362338	29435949	2
chr1	EPB41	+	29379616	29391670	2
chr1	EPB41	+	29422667	29424447	3
chr1	SRSF4	-	29481422	29474592	3
chr1	SRSF4	-	29481422	29481208	3
chr1	PUM1	-	31441339	31437521	2
chr1	PUM1	-	31447649	31437521	6
chr1	PUM1	-	31454252	31447498	2
chr1	PUM1	-	31468067	31465237	66
chr1	PUM1	-	31479946	31465237	14
chr1	PUM1	-	31479949	31465237	30
chr1	PUM1	-	31532424	31532051	4
chr1	NKAIN1	-	31661034	31656664	2
chr1	SNRNP40	-	31764853	31740718	3
chr1	ZCCHC17	+	31810022	31821821	12
chr1	PTP4A2	-	32385259	32377297	2
chr1	PTP4A2	-	32385259	32381496	57
chr1	PTP4A2	-	32385259	32384571	2
chr1	KHDRBS1	+	32495899	32498935	6
chr1	KHDRBS1	+	32495899	32504220	2
chr1	KHDRBS1	+	32495899	32510991	5
chr1	KHDRBS1	+	32502511	32505174	2
chr1	RP1-27O5.3	+	33058532	33059355	5
chr1	RP1-27O5.3	+	33058532	33060824	6
chr1	RBBP4	+	33133826	33138502	4
chr1	S100PBP	+	33290914	33293682	4
chr1	S100PBP	+	33290914	33295668	6
chr1	RNF19B	-	33415375	33413823	16
chr1	ZNF362	+	33760538	33760906	6
chr1	ZMYM1	+	35559515	35576048	2
chr1	ZMYM1	+	35562918	35576048	3
chr1	ZMYM1	+	35569896	35576048	4
chr1	ZMYM4	+	35790961	35827390	2
chr1	ZMYM4	+	35824526	35827390	53
chr1	ZMYM4	+	35824526	35827867	3
chr1	ZMYM4	+	35846860	35854683	21
chr1	ZMYM4	+	35846860	35855699	12
chr1	ZMYM4	+	35846860	35865177	4
chr1	ZMYM4	+	35846860	35873760	4
chr1	ZMYM4	+	35851043	35855699	2
chr1	ZMYM4	+	35854511	35855699	4
chr1	ZMYM4	+	35857813	35865177	6
chr1	ZMYM4	+	35870624	35873760	6
chr1	ZMYM4	+	35879573	35881315	7
chr1	KIAA0319L	-	35944813	35932209	2
chr1	KIAA0319L	-	35944813	35936464	14
chr1	KIAA0319L	-	35944813	35940406	5
chr1	KIAA0319L	-	35944813	35944567	3
chr1	CLSPN	-	36212593	36204737	4
chr1	CLSPN	-	36212593	36208742	3
chr1	AGO3	+	36469942	36479649	2
chr1	AGO3	+	36469942	36492899	2
chr1	AGO3	+	36501778	36509149	2
chr1	STK40	-	36828257	36826822	2
chr1	INPP5B	-	38339760	38332131	5
chr1	INPP5B	-	38345866	38341278	3
chr1	AKIRIN1	+	39463843	39466778	2
chr1	MACF1	+	39696854	39723700	2
chr1	MACF1	+	39815150	39854330	2
chr1	MACF1	+	39826465	39827349	2
chr1	MACF1	+	39851106	39854330	3
chr1	MACF1	+	39900086	39905172	4
chr1	TRIT1	-	40323089	40306807	3
chr1	TRIT1	-	40323089	40319642	8
chr1	TRIT1	-	40328607	40319642	4
chr1	RLF	+	40654727	40668286	25
chr1	RLF	+	40656444	40668286	2
chr1	ZMPSTE24	+	40733458	40737707	3
chr1	CTPS1	+	41463066	41466789	3
chr1	SCMH1	-	41541123	41536267	95
chr1	SCMH1	-	41582682	41578955	5
chr1	SCMH1	-	41608784	41578955	10
chr1	HIVEP3	-	42314760	42312054	2
chr1	FOXJ3	-	42744343	42730786	9
chr1	FOXJ3	-	42744455	42730786	10
chr1	FOXJ3	-	42776781	42730786	4
chr1	WDR65	+	43663224	43665174	4
chr1	KDM4A	+	44131367	44137546	3
chr1	SLC6A9	-	44468657	44467985	2
chr1	ERI3	-	44785416	44750507	2
chr1	ERI3	-	44804994	44750507	2
chr1	ERI3	-	44804994	44773982	11
chr1	RNF220	+	44877653	44878394	5
chr1	ZSWIM5	-	45553909	45524281	2
chr1	ZSWIM5	-	45553909	45553553	6
chr1	GPBP1L1	-	46106075	46093932	2
chr1	GPBP1L1	-	46108171	46099161	5
chr1	GPBP1L1	-	46108171	46105882	9
chr1	GPBP1L1	-	46120991	46120215	2
chr1	GPBP1L1	-	46126897	46124700	6
chr1	MAST2	+	46499474	46499938	3
chr1	PIK3R3	-	46546422	46509326	6
chr1	PIK3R3	-	46532763	46521467	2
chr1	PIK3R3	-	46543285	46521467	3
chr1	PIK3R3	-	46546422	46521467	47
chr1	PIK3R3	-	46543285	46527601	2
chr1	PIK3R3	-	46546422	46527601	7
chr1	PIK3R3	-	46546422	46531726	3
chr1	PIK3R3	-	46546422	46543187	3
chr1	UQCRH	+	46775569	46775988	2
chr1	STIL	-	47748131	47745913	13
chr1	STIL	-	47765824	47745913	2
chr1	CMPK1	+	47834141	47840965	5
chr1	SPATA6	-	48825442	48821342	18
chr1	SPATA6	-	48869554	48821342	2
chr1	FAF1	-	51061888	51001041	2
chr1	FAF1	-	51061888	51032749	4
chr1	FAF1	-	51210447	51121114	3
chr1	EPS15	-	51913807	51860053	3
chr1	EPS15	-	51874004	51868107	6
chr1	EPS15	-	51930998	51868107	2
chr1	OSBPL9	+	52211208	52231653	4
chr1	OSBPL9	+	52215817	52231653	2
chr1	OSBPL9	+	52237742	52238395	2
chr1	NRD1	-	52282061	52279707	3
chr1	NRD1	-	52299842	52289336	7
chr1	ZFYVE9	+	52698843	52705267	3
chr1	ORC1	-	52863535	52861718	4
chr1	ZCCHC11	-	52927441	52911459	3
chr1	ZCCHC11	-	52927441	52924008	3
chr1	ZCCHC11	-	52956473	52930742	3
chr1	ZCCHC11	-	52947595	52943380	5
chr1	ZCCHC11	-	52954707	52943380	3
chr1	ZCCHC11	-	52975384	52956404	6
chr1	ZCCHC11	-	52962855	52959283	4
chr1	ZCCHC11	-	52975384	52959283	41
chr1	ZCCHC11	-	52992045	52959283	2
chr1	ZCCHC11	-	52992045	52975268	7
chr1	ZCCHC11	-	52992045	52981563	13
chr1	NDC1	-	54258952	54238002	2
chr1	TMEM59	-	54513045	54502283	2
chr1	TMEM59	-	54509198	54506429	4
chr1	TMEM59	-	54513045	54506429	6
chr1	USP24	-	55600086	55589120	2
chr1	DAB1	-	57538087	57528557	6
chr1	OMA1	-	59000003	58971732	3
chr1	OMA1	-	59002413	58971732	11
chr1	OMA1	-	59002413	58992933	4
chr1	DAB1	-	59004978	59002181	2
chr1	MYSM1	-	59150923	59147457	4
chr1	FGGY	+	59784265	59787422	2
chr1	FGGY	+	59787208	59812070	19
chr1	FGGY	+	59787208	59844509	13
chr1	FGGY	+	59805630	59844509	15
chr1	INADL	+	62321702	62350080	4
chr1	USP1	+	62905470	62908990	4
chr1	USP1	+	62907159	62908990	6
chr1	USP1	+	62908830	62914337	2
chr1	USP1	+	62910409	62913182	5
chr1	USP1	+	62910409	62914337	3
chr1	DOCK7	-	63018572	63001164	2
chr1	DOCK7	-	63052295	63042933	8
chr1	DOCK7	-	63091072	63042933	2
chr1	DOCK7	-	63091072	63084377	3
chr1	ATG4C	+	63269390	63307218	4
chr1	ATG4C	+	63269390	63332269	3
chr1	ROR1	+	64474977	64516388	4
chr1	ROR1	+	64515363	64516388	3
chr1	CACHD1	+	65016277	65047987	3
chr1	CACHD1	+	65047839	65068595	2
chr1	CACHD1	+	65047839	65107652	3
chr1	CACHD1	+	65068489	65107652	3
chr1	CACHD1	+	65095038	65107652	10
chr1	CACHD1	+	65129378	65130362	2
chr1	CACHD1	+	65131740	65141666	29
chr1	CACHD1	+	65142578	65145439	2
chr1	RAVER2	+	65234339	65255197	3
chr1	RAVER2	+	65243306	65243775	3
chr1	RAVER2	+	65243306	65255197	2
chr1	RAVER2	+	65243306	65280523	3
chr1	DNAJC6	+	65830318	65831879	3
chr1	PDE4B	+	66378928	66384518	9
chr1	WDR78	-	67371058	67288044	2
chr1	WDR78	-	67371058	67337053	2
chr1	WDR78	-	67371058	67356837	31
chr1	MIER1	+	67405711	67428843	4
chr1	MIER1	+	67411833	67425426	3
chr1	MIER1	+	67411833	67428843	2
chr1	MIER1	+	67411833	67442405	2
chr1	MIER1	+	67423742	67428843	15
chr1	LRRC7	+	70397190	70460316	2
chr1	LRRC40	-	70654956	70644534	3
chr1	ANKRD13C	-	70781249	70736539	4
chr1	ANKRD13C	-	70781249	70742448	2
chr1	ANKRD13C	-	70766591	70758071	4
chr1	ANKRD13C	-	70781249	70758071	17
chr1	ANKRD13C	-	70781249	70761813	4
chr1	ANKRD13C	-	70781249	70766447	2
