id	gene	allTranscripts	transcript	totExons	strand	chrom	startUpIntron	endUpIntron	startUpBSE	endUpBSE	startDownBSE	endDownBSE	startDownIntron	endDownIntron	exNumUpBSE	exNumDownBSE	numOfExons	lenUpIntron	lenUpBSE	lenDownBSE	lenDownIntron	meanLengthBSEs	meanLengthIntrons	lenCircRNA
1	RMST:+:chr12:97886239:97954825	RMST	ENST00000538559	ENST00000538559	14	+	chr12	97857068	97886238	97886239	97886384	97954575	97954825	97954826	97957927	6	12	7	29170	145	250	3101	197.5	16135.5	1188
2	HIPK3:+:chr11:33307959:33309057	HIPK3	ENST00000303296,ENST00000379016,ENST00000456517,ENST00000525975	ENST00000303296	17	+	chr11	33279436	33307958	33307959	33309057	33307959	33309057	33309058	33350055	2	2	1	28522	1098	1098	40997	1098	34759.5	1099
3	FAT3:+:chr11:92085262:92088570	FAT3	ENST00000298047,ENST00000409404,ENST00000541502	ENST00000298047	27	+	chr11	NA	NA	92085262	92088570	92085262	92088570	92088571	92257799	1	1	1	NA	3308	3308	169228	3308	169228	3309
4	MAN1A2:+:chr1:117944808:117963271	MAN1A2	ENST00000356554	ENST00000356554	13	+	chr1	117911108	117944807	117944808	117945063	117963191	117963271	117963272	117984852	2	5	4	33699	255	80	21580	167.5	27639.5	553
5	SPECC1:+:chr17:20107646:20109225	SPECC1	ENST00000395530,ENST00000395529,ENST00000261503,ENST00000395527,ENST00000395522,ENST00000395525	ENST00000395530	13	+	chr17	20059550	20107645	20107646	20109225	20107646	20109225	20109226	20130725	2	2	1	48095	1579	1579	21499	1579	34797	1580
6	ZNF124:-:chr1:247323115:247319708	ZNF124	NA	NA	NA	-	chr1	NA	NA	247323115	NA	NA	247319708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	CAMSAP1:-:chr9:138774924:138773479	CAMSAP1	ENST00000389532,ENST00000409386	ENST00000389532	17	-	chr9	138798845	138774925	138774924	138774662	138773640	138773479	138773478	138758383	2	3	2	23920	262	161	15095	211.5	19507.5	425
8	EXOC6B:-:chr2:72960247:72945232	EXOC6B	ENST00000272427,ENST00000410104,ENST00000410112	ENST00000272427	22	-	chr2	72968432	72960248	72960247	72960200	72945436	72945232	72945231	72802798	3	6	4	8184	47	204	142433	125.5	75308.5	390
9	TMEFF1:+:chr9:103261047:103279053	TMEFF1	ENST00000374879,ENST00000334943	ENST00000374879	10	+	chr9	103236023	103261046	103261047	103261156	103278957	103279053	103279054	103310025	2	5	4	25023	109	96	30971	102.5	27997	364
10	RIMS1:+:chr6:73005640:73043538	RIMS1	ENST00000522211,ENST00000538414	ENST00000522211	15	+	chr6	73001750	73005639	73005640	73005669	73043303	73043538	73043539	73100299	7	10	4	3889	29	235	56760	132	30324.5	546
11	AFF2:+:chrX:147743429:147744289	AFF2	ENST00000370460,ENST00000370457,ENST00000342251,ENST00000370458	ENST00000370460	21	+	chrX	147733653	147743428	147743429	147744289	147743429	147744289	147744290	147891399	3	3	1	9775	860	860	147109	860	78442	861
12	FAT1:-:chr4:187630999:187627717	FAT1	ENST00000441802	ENST00000441802	27	-	chr4	187644817	187631000	187630999	187627717	187630999	187627717	187627716	187584768	2	2	1	13817	3282	3282	42948	3282	28382.5	3283
13	ACVR2A:+:chr2:148653870:148657467	ACVR2A	ENST00000241416,ENST00000404590,ENST00000462659	ENST00000241416	11	+	chr2	148602777	148653869	148653870	148654077	148657313	148657467	148657468	148672759	2	4	3	51092	207	154	15291	180.5	33191.5	473
14	SMARCA5:+:chr4:144464662:144465125	SMARCA5	ENST00000283131	ENST00000283131	24	+	chr4	144461649	144464661	144464662	144464810	144465006	144465125	144465126	144465889	15	16	2	3012	148	119	763	133.5	1887.5	269
15	ZKSCAN1:+:chr7:99621042:99621930	ZKSCAN1	ENST00000324306,ENST00000426572	ENST00000324306	6	+	chr7	99613350	99621041	99621042	99621555	99621777	99621930	99621931	99627483	2	3	2	7691	513	153	5552	333	6621.5	668
16	MIB1:+:chr18:19345733:19359646	MIB1	ENST00000261537,ENST00000578646	ENST00000261537	21	+	chr18	19321774	19345732	19345733	19345904	19359442	19359646	19359647	19371334	2	6	5	23958	171	204	11687	187.5	17822.5	679
17	FBXW7:-:chr4:153333681:153332455	FBXW7	ENST00000603548	ENST00000603548	13	-	chr4	153456092	153333682	153333681	153333632	153333024	153332455	153332454	153271277	2	3	2	122410	49	569	61177	309	91793.5	620
18	N4BP2L2:-:chr13:33101669:33091994	N4BP2L2	ENST00000357505,ENST00000504114,ENST00000399396,ENST00000505213,ENST00000446957	ENST00000357505	10	-	chr13	33112754	33101670	33101669	33101595	33092140	33091994	33091993	33018264	3	6	4	11084	74	146	73729	110	42406.5	388
19	RERE:-:chr1:8617582:8601272	RERE	ENST00000337907,ENST00000400908,ENST00000400907,ENST00000480342	ENST00000337907	24	-	chr1	8674619	8617583	8617582	8617477	8601377	8601273	8601272	8568735	6	8	3	57036	105	104	32537	104.5	44786.5	308
20	SETD3:-:chr14:99932150:99924616	SETD3	ENST00000331768,ENST00000436070,ENST00000357563,ENST00000446066,ENST00000329331,ENST00000453764	ENST00000331768	13	-	chr14	99947064	99932151	99932150	99932040	99924872	99924616	99924615	99880272	2	6	5	14913	110	256	44343	183	29628	683
