chrom	gene	strand	startUpBSE	endDownBSE	coverage
chr1	SDF4	-	1159348	1158624	9
chr1	UBE2J2	-	1192690	1192372	10
chr1	SSU72	-	1500296	1496712	2
chr1	SLC35E2	-	1671143	1666129	2
chr1	GNB1	-	1747301	1724684	5
chr1	GNB1	-	1749314	1724684	9
chr1	GNB1	-	1737977	1735858	2
chr1	GNB1	-	1749314	1735858	21
chr1	GNB1	-	1756938	1735858	9
chr1	GNB1	-	1770677	1735858	3
chr1	GNB1	-	1770677	1737914	2
chr1	GNB1	-	1756938	1747195	12
chr1	GNB1	-	1770677	1747195	23
chr1	GNB1	-	1770677	1756836	2
chr1	LRRC47	-	3698165	3697715	4
chr1	NPHP4	-	5993389	5964677	3
chr1	NPHP4	-	5993389	5987709	2
chr1	NPHP4	-	6022009	6007164	7
chr1	NPHP4	-	6029319	6007164	6
chr1	NPHP4	-	6029319	6021854	5
chr1	NPHP4	-	6046387	6021854	4
chr1	CHD5	-	6196925	6196577	3
chr1	ICMT	-	6293703	6291962	8
chr1	NOL9	-	6601987	6592028	2
chr1	NOL9	-	6610675	6609631	2
chr1	DNAJC11	-	6714099	6712889	2
chr1	CAMTA1	+	6860030	6885270	2
chr1	CAMTA1	+	6867043	6885270	5
chr1	CAMTA1	+	6867043	6948959	2
chr1	CAMTA1	+	6880241	6948959	2
chr1	CAMTA1	+	7151364	7309686	3
chr1	VAMP3	+	7837220	7838229	24
chr1	PARK7	+	8037712	8045195	3
chr1	RERE	-	8601377	8482787	6
chr1	RERE	-	8617582	8482787	8
chr1	RERE	-	8674745	8482787	7
chr1	RERE	-	8568734	8525985	6
chr1	RERE	-	8601377	8525985	14
chr1	RERE	-	8617582	8525985	51
chr1	RERE	-	8674745	8525985	51
chr1	RERE	-	8684439	8525985	3
chr1	RERE	-	8716500	8525985	2
chr1	RERE	-	8568734	8555123	6
chr1	RERE	-	8601377	8555123	27
chr1	RERE	-	8617582	8555123	267
chr1	RERE	-	8674745	8555123	223
chr1	RERE	-	8684439	8555123	2
chr1	RERE	-	8617582	8568686	125
chr1	RERE	-	8674745	8568686	28
chr1	RERE	-	8684439	8568686	4
chr1	RERE	-	8617582	8601273	494
chr1	RERE	-	8617596	8601273	8
chr1	RERE	-	8674745	8601273	389
chr1	RERE	-	8684439	8601273	27
chr1	RERE	-	8716500	8601273	10
chr1	RERE	-	8674745	8616534	6
chr1	RERE	-	8684439	8616534	8
chr1	RERE	-	8716500	8616534	3
chr1	RERE	-	8684439	8672105	6
chr1	RERE	-	8693980	8672105	2
chr1	RERE	-	8684439	8674620	23
chr1	RERE	-	8716500	8674620	23
chr1	RERE	-	8716500	8684369	4
